epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.46,2.10199,2.71028,2.14716,0.3445,0.32278,0.26114,0.08686,2.22731,2.36909,2.10136,0.00333036,0.00333036,0.0700268
2,465.365,1.97301,2.36097,1.98117,0.32044,0.32839,0.26052,0.089,2.21307,2.4817,2.11785,0.00666206,0.00666206,0.0400252
3,640.117,2.00381,2.38593,2.01583,0.32254,0.32726,0.25555,0.08357,2.24545,2.40262,2.12629,0.00998726,0.00998726,0.010017
4,1059.49,2.03326,2.44822,2.02477,0.3118,0.3494,0.2469,0.07999,2.2626,2.34283,2.17561,0.00997803,0.00997803,0.00997803
5,1231.2,2.02138,2.40989,2.04789,0.34313,0.33025,0.27443,0.08947,2.20301,2.40981,2.13499,0.00996097,0.00996097,0.00996097
6,1650.76,1.97946,2.36045,2.01153,0.35607,0.34003,0.2786,0.09269,2.19171,2.52341,2.21243,0.00993906,0.00993906,0.00993906
7,2055.24,1.96357,2.33934,2.00561,0.38803,0.37665,0.33128,0.11012,2.18714,2.24343,2.14899,0.00991232,0.00991232,0.00991232
8,2223.16,1.95603,2.30153,1.99504,0.397,0.36141,0.3279,0.10914,2.17796,2.33563,2.15917,0.00988079,0.00988079,0.00988079
9,2469.18,1.94201,2.2603,1.9919,0.38037,0.37955,0.32165,0.11116,2.13907,2.21401,2.11306,0.00984449,0.00984449,0.00984449
10,2819.99,1.92637,2.23811,1.97922,0.41316,0.3995,0.36748,0.12808,2.14031,2.13322,2.05151,0.00980345,0.00980345,0.00980345
11,3309.61,1.9264,2.21808,1.96683,0.37377,0.41202,0.33793,0.11522,2.14003,2.21217,2.11873,0.00975773,0.00975773,0.00975773
12,3464,1.90953,2.19922,1.96626,0.41511,0.41107,0.38129,0.13307,2.10758,2.19303,2.08523,0.00970736,0.00970736,0.00970736
13,3644.96,1.90006,2.17699,1.95259,0.41525,0.43162,0.37825,0.13094,2.13033,2.09574,2.09582,0.00965239,0.00965239,0.00965239
14,3831.27,1.89305,2.15952,1.95677,0.44671,0.41422,0.39409,0.14133,2.12671,2.10087,2.09293,0.00959289,0.00959289,0.00959289
15,4026.95,1.8909,2.14469,1.9466,0.45369,0.40775,0.40215,0.14376,2.08656,2.05314,2.03196,0.00952889,0.00952889,0.00952889
16,4224.77,1.88015,2.13098,1.94467,0.42816,0.43026,0.3982,0.14327,2.06794,2.12661,2.04843,0.00946048,0.00946048,0.00946048
17,4419.43,1.86507,2.09192,1.93028,0.4625,0.42314,0.40243,0.14464,2.07824,2.02953,2.02893,0.00938772,0.00938772,0.00938772
18,4616.53,1.87064,2.06682,1.92375,0.44392,0.43338,0.41011,0.14192,2.11304,2.01929,2.06693,0.00931067,0.00931067,0.00931067
19,4814.03,1.86112,2.07623,1.91971,0.45162,0.42558,0.39381,0.14289,2.06265,2.03791,2.03036,0.00922942,0.00922942,0.00922942
20,5013.68,1.83818,2.04753,1.90699,0.44939,0.42861,0.40111,0.14555,2.07432,2.01025,2.01155,0.00914405,0.00914405,0.00914405
21,5212.84,1.84558,2.04238,1.90798,0.46315,0.44563,0.42948,0.15971,2.06903,1.95053,1.99308,0.00905463,0.00905463,0.00905463
22,5397.65,1.83625,2.01252,1.89456,0.44668,0.44719,0.4228,0.15519,2.07629,1.95052,2.03821,0.00896127,0.00896127,0.00896127
23,5552.68,1.83905,2.02731,1.90154,0.47513,0.45544,0.44716,0.16486,2.06676,1.92834,1.99473,0.00886404,0.00886404,0.00886404
24,5750.84,1.82732,1.99994,1.89034,0.45556,0.45119,0.42237,0.15393,2.0801,1.95132,2.02439,0.00876305,0.00876305,0.00876305
25,5952.47,1.82194,1.96054,1.87052,0.46267,0.4717,0.44359,0.16075,2.08294,1.90756,2.03085,0.00865839,0.00865839,0.00865839
26,6150.75,1.82466,1.95864,1.88192,0.4991,0.45423,0.45033,0.16301,2.07861,1.90266,1.98868,0.00855018,0.00855018,0.00855018
27,6351.36,1.80626,1.95578,1.8743,0.49689,0.46904,0.4587,0.16796,2.08338,1.87533,2.00931,0.00843851,0.00843851,0.00843851
28,6512,1.79271,1.92881,1.8557,0.50225,0.47683,0.4652,0.17833,2.0648,1.85072,1.98963,0.00832349,0.00832349,0.00832349
29,6658.05,1.80538,1.9073,1.85675,0.50681,0.48281,0.47463,0.17265,2.09375,1.85629,1.99008,0.00820525,0.00820525,0.00820525
30,6803.66,1.79147,1.89734,1.85403,0.50691,0.47604,0.46412,0.17317,2.10199,1.86641,2.00833,0.00808389,0.00808389,0.00808389
31,6945.94,1.77193,1.88444,1.84409,0.5215,0.482,0.47848,0.1759,2.08811,1.82214,2.00128,0.00795954,0.00795954,0.00795954
32,7092.65,1.77829,1.86952,1.8363,0.5147,0.47261,0.46183,0.17273,2.05298,1.86402,1.99052,0.00783231,0.00783231,0.00783231
33,7239.03,1.77017,1.86151,1.83769,0.52072,0.49037,0.47859,0.18133,2.07636,1.79693,1.98356,0.00770234,0.00770234,0.00770234
34,7385,1.76306,1.82746,1.81899,0.52722,0.49716,0.48442,0.18026,2.08674,1.80349,1.97634,0.00756976,0.00756976,0.00756976
35,7530.6,1.7664,1.83231,1.82363,0.52562,0.49328,0.48466,0.18405,2.07309,1.80596,1.96673,0.00743468,0.00743468,0.00743468
36,7677.95,1.75923,1.83423,1.82043,0.51819,0.50268,0.48796,0.18241,2.06613,1.80125,1.96423,0.00729725,0.00729725,0.00729725
37,7821.56,1.75404,1.77615,1.80418,0.52056,0.50565,0.48531,0.1854,2.07088,1.76535,1.94427,0.00715761,0.00715761,0.00715761
38,7967.51,1.74456,1.78455,1.79765,0.51805,0.50468,0.48574,0.18801,2.05554,1.76768,1.93502,0.00701588,0.00701588,0.00701588
39,8113.3,1.73945,1.77414,1.79169,0.53166,0.48835,0.50419,0.18988,2.0764,1.74931,1.94965,0.00687222,0.00687222,0.00687222
40,8258.2,1.73914,1.77303,1.7849,0.54795,0.50759,0.50613,0.19388,2.07861,1.74915,1.9576,0.00672675,0.00672675,0.00672675
41,8410.24,1.72426,1.73593,1.77514,0.54959,0.52775,0.51617,0.19736,2.06837,1.72027,1.9469,0.00657963,0.00657963,0.00657963
42,8559.11,1.71601,1.7197,1.7687,0.57154,0.50565,0.52019,0.19652,2.06678,1.75618,1.94452,0.00643101,0.00643101,0.00643101
43,8703.65,1.71784,1.72749,1.76572,0.56186,0.51306,0.51948,0.20169,2.06242,1.71517,1.94123,0.00628101,0.00628101,0.00628101
44,8851.12,1.72097,1.70466,1.77081,0.56362,0.51735,0.52645,0.20274,2.04961,1.68619,1.93388,0.00612981,0.00612981,0.00612981
45,8998.32,1.70116,1.69045,1.75259,0.54328,0.51653,0.50371,0.19608,2.05518,1.71342,1.92774,0.00597754,0.00597754,0.00597754
46,9144.1,1.69753,1.66095,1.7481,0.57072,0.50969,0.52029,0.20378,2.07046,1.69362,1.94612,0.00582435,0.00582435,0.00582435
47,9287.17,1.68772,1.6421,1.74188,0.56602,0.51808,0.52351,0.20139,2.08559,1.6765,1.94979,0.0056704,0.0056704,0.0056704
48,9428.94,1.69644,1.65079,1.74985,0.55925,0.53123,0.52859,0.20736,2.07331,1.67168,1.94627,0.00551584,0.00551584,0.00551584
49,9574.04,1.68745,1.64106,1.73405,0.55497,0.5275,0.52432,0.20602,2.063,1.67815,1.92206,0.00536081,0.00536081,0.00536081
50,9719.06,1.68303,1.64083,1.73409,0.55785,0.5295,0.52398,0.20268,2.08195,1.67095,1.95522,0.00520548,0.00520548,0.00520548
51,9860.67,1.67654,1.60108,1.72284,0.57196,0.53165,0.53838,0.21097,2.08392,1.64366,1.94339,0.00505,0.00505,0.00505
52,10015.1,1.67235,1.5978,1.72343,0.58381,0.52496,0.53487,0.21073,2.07121,1.62409,1.91861,0.00489452,0.00489452,0.00489452
53,10198.2,1.65756,1.56447,1.70627,0.60144,0.53278,0.55153,0.21755,2.07991,1.61341,1.93237,0.00473919,0.00473919,0.00473919
54,10342.8,1.64858,1.56876,1.70651,0.58123,0.53612,0.55077,0.21866,2.06716,1.61502,1.93619,0.00458416,0.00458416,0.00458416
55,10490.8,1.64085,1.55551,1.70001,0.58862,0.54364,0.55503,0.22082,2.06228,1.60468,1.92821,0.0044296,0.0044296,0.0044296
56,10633.2,1.63629,1.53053,1.69804,0.58441,0.53492,0.55069,0.21748,2.08455,1.60774,1.94594,0.00427565,0.00427565,0.00427565
57,10779.1,1.63809,1.5252,1.68693,0.57956,0.54104,0.54461,0.21739,2.08121,1.61227,1.94949,0.00412246,0.00412246,0.00412246
58,10923.4,1.63788,1.51993,1.68845,0.58703,0.53634,0.54813,0.21661,2.08229,1.60018,1.94039,0.00397019,0.00397019,0.00397019
59,11067.4,1.61856,1.49757,1.6742,0.59713,0.54101,0.55349,0.21989,2.08111,1.58821,1.95453,0.00381899,0.00381899,0.00381899
60,11213.6,1.6077,1.49856,1.66606,0.58185,0.54157,0.54024,0.21322,2.09367,1.59298,1.94112,0.00366899,0.00366899,0.00366899
61,11360.7,1.60981,1.46811,1.65179,0.56087,0.54963,0.53942,0.21573,2.09318,1.57169,1.93466,0.00352037,0.00352037,0.00352037
62,11505.7,1.59226,1.46215,1.6515,0.58319,0.55685,0.55357,0.22396,2.06737,1.55605,1.92526,0.00337325,0.00337325,0.00337325
63,11650.6,1.58772,1.45942,1.63883,0.59752,0.5481,0.55221,0.22147,2.0813,1.56242,1.93864,0.00322778,0.00322778,0.00322778
64,11798.3,1.59094,1.46179,1.65416,0.59002,0.53856,0.55547,0.22451,2.08588,1.55599,1.95724,0.00308412,0.00308412,0.00308412
65,11941.3,1.57349,1.42192,1.63759,0.5894,0.54672,0.56008,0.21933,2.1161,1.55791,1.97002,0.00294239,0.00294239,0.00294239
66,12085.5,1.56156,1.41446,1.62202,0.60055,0.55498,0.56285,0.22333,2.09168,1.53986,1.94951,0.00280275,0.00280275,0.00280275
67,12231.2,1.56829,1.41005,1.62729,0.57461,0.56148,0.55908,0.22127,2.11036,1.53911,1.97007,0.00266532,0.00266532,0.00266532
68,12379.2,1.56133,1.38859,1.62,0.59717,0.55901,0.55675,0.2224,2.09918,1.53629,1.952,0.00253024,0.00253024,0.00253024
