epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.985,1.89387,2.66555,2.00478,0.30103,0.27919,0.23147,0.08752,2.07823,2.40709,2.08234,0.0033296,0.0033296,0.0700336
2,649.302,1.78675,2.22364,1.89288,0.29723,0.24403,0.21584,0.08294,2.17099,2.47868,2.19479,0.00666131,0.00666131,0.0400319
3,894.109,1.82573,2.27221,1.94416,0.34583,0.25652,0.20477,0.07445,2.19958,2.46044,2.23291,0.00998651,0.00998651,0.0100238
4,1148.12,1.8677,2.35232,1.99816,0.31076,0.26807,0.23722,0.09212,2.10098,2.37581,2.18882,0.00997803,0.00997803,0.00997803
5,1391.8,1.84012,2.33735,1.98704,0.3781,0.28177,0.28012,0.10909,2.08351,2.26748,2.12915,0.00996097,0.00996097,0.00996097
6,1640.8,1.80719,2.28447,1.97034,0.41122,0.29828,0.27947,0.10741,2.09561,2.29148,2.19505,0.00993906,0.00993906,0.00993906
7,1906.41,1.79239,2.24338,1.95971,0.38637,0.31426,0.30237,0.12044,2.04808,2.16046,2.14101,0.00991232,0.00991232,0.00991232
8,2176.56,1.77021,2.19699,1.94403,0.40275,0.33679,0.31454,0.13094,1.98524,2.12316,2.10451,0.00988079,0.00988079,0.00988079
9,2458.09,1.75529,2.18124,1.94131,0.44677,0.31926,0.32833,0.13262,2.01554,2.11902,2.12345,0.00984449,0.00984449,0.00984449
10,2725.49,1.74086,2.16185,1.93602,0.40178,0.34704,0.3134,0.1306,2.02484,2.12327,2.11218,0.00980345,0.00980345,0.00980345
11,2977.08,1.73249,2.13276,1.91997,0.43384,0.34456,0.34609,0.14991,1.95008,2.03736,2.04132,0.00975773,0.00975773,0.00975773
12,3224.54,1.71796,2.10806,1.90703,0.45569,0.32388,0.34183,0.15299,1.91958,1.99874,2.01366,0.00970736,0.00970736,0.00970736
13,3479.99,1.71644,2.09334,1.90152,0.44243,0.35964,0.34659,0.15474,1.92868,2.00035,2.01456,0.00965239,0.00965239,0.00965239
14,3735.08,1.70666,2.07014,1.89492,0.45893,0.37152,0.35655,0.1541,1.93167,1.97305,2.0313,0.00959289,0.00959289,0.00959289
15,3984.89,1.68025,2.03367,1.88433,0.43241,0.35347,0.3485,0.15382,1.91918,1.94971,2.02379,0.00952889,0.00952889,0.00952889
16,4239.29,1.68909,2.03706,1.88295,0.4716,0.34979,0.36182,0.15796,1.93722,1.9658,2.05048,0.00946048,0.00946048,0.00946048
17,4466.65,1.67343,2.01866,1.8815,0.4477,0.3676,0.36579,0.16196,1.90348,1.93819,2.01943,0.00938772,0.00938772,0.00938772
18,4851.49,1.67888,2.01688,1.88101,0.46097,0.38039,0.37677,0.17,1.90331,1.90525,1.99697,0.00931067,0.00931067,0.00931067
19,5232.99,1.66832,1.99624,1.8659,0.46857,0.37306,0.38245,0.16845,1.91221,1.90894,2.00508,0.00922942,0.00922942,0.00922942
20,5444.63,1.66017,1.97578,1.86662,0.47686,0.38294,0.38971,0.17367,1.87951,1.86403,1.97787,0.00914405,0.00914405,0.00914405
21,5638.84,1.64897,1.96163,1.86309,0.48781,0.37073,0.3809,0.17028,1.87989,1.87959,2.0094,0.00905463,0.00905463,0.00905463
22,5971.9,1.64555,1.94227,1.85739,0.46749,0.38754,0.39218,0.18064,1.86801,1.83522,1.97189,0.00896127,0.00896127,0.00896127
23,6227.33,1.643,1.94432,1.85024,0.4728,0.39142,0.39239,0.17668,1.86691,1.85575,1.98093,0.00886404,0.00886404,0.00886404
24,6424.14,1.64151,1.9208,1.84488,0.49444,0.38077,0.40179,0.18303,1.8598,1.81303,1.97107,0.00876305,0.00876305,0.00876305
25,6618.45,1.63405,1.91919,1.83984,0.47923,0.39492,0.40052,0.18286,1.86562,1.81717,1.97016,0.00865839,0.00865839,0.00865839
26,6812.33,1.61968,1.91646,1.83442,0.45676,0.40258,0.39856,0.18296,1.84974,1.82895,1.95427,0.00855018,0.00855018,0.00855018
27,7756.13,1.61154,1.87543,1.81857,0.48788,0.39964,0.40948,0.19027,1.83824,1.80675,1.94938,0.00843851,0.00843851,0.00843851
28,8267.51,1.61159,1.89042,1.82752,0.47022,0.41194,0.40625,0.18633,1.82586,1.80602,1.93083,0.00832349,0.00832349,0.00832349
29,8459.63,1.6037,1.87473,1.83038,0.47844,0.40665,0.41058,0.19307,1.80843,1.77337,1.93128,0.00820525,0.00820525,0.00820525
30,9904.26,1.60694,1.8647,1.82198,0.4908,0.40591,0.40885,0.19353,1.81988,1.79069,1.9373,0.00808389,0.00808389,0.00808389
31,10098,1.58639,1.84639,1.81255,0.51771,0.40622,0.42693,0.19623,1.83604,1.75244,1.94961,0.00795954,0.00795954,0.00795954
32,10299.5,1.60211,1.85156,1.81375,0.49386,0.40862,0.41997,0.19384,1.84486,1.7468,1.94223,0.00783231,0.00783231,0.00783231
33,10497.8,1.5921,1.81687,1.80619,0.4724,0.41374,0.41946,0.19778,1.79442,1.76059,1.90743,0.00770234,0.00770234,0.00770234
34,10756.2,1.58782,1.81774,1.80265,0.51542,0.38826,0.41444,0.19593,1.80614,1.73338,1.91232,0.00756976,0.00756976,0.00756976
35,11072.8,1.58348,1.8094,1.79783,0.50649,0.40646,0.42579,0.19816,1.81813,1.73716,1.93345,0.00743468,0.00743468,0.00743468
36,11741.9,1.5771,1.79396,1.79582,0.51385,0.41387,0.42976,0.20078,1.82069,1.71985,1.92,0.00729725,0.00729725,0.00729725
37,11996.9,1.57247,1.78716,1.80118,0.50069,0.42625,0.43332,0.20282,1.81927,1.70152,1.92669,0.00715761,0.00715761,0.00715761
38,12250.1,1.56394,1.77032,1.78537,0.51594,0.41076,0.43726,0.20387,1.8196,1.7121,1.91039,0.00701588,0.00701588,0.00701588
