epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.377,1.39597,1.31221,1.50677,0.79963,0.56164,0.62718,0.37556,1.4861,1.46789,1.57274,0.000332425,0.000332425,0.0670899
2,281.419,1.30371,1.05086,1.4342,0.70242,0.63165,0.71673,0.39434,1.55494,1.13633,1.61698,0.000665686,0.000665686,0.0340898
3,367.054,1.25198,0.97918,1.40225,0.89352,0.66269,0.76209,0.44488,1.51746,1.12203,1.62237,0.000998658,0.000998658,0.00108948
4,450.954,1.22892,0.92349,1.38733,0.77418,0.70801,0.77265,0.50244,1.29842,0.92281,1.45537,0.000999023,0.000999023,0.000999023
5,535.243,1.20443,0.89826,1.36503,0.81485,0.75376,0.80444,0.53573,1.2114,0.8468,1.37032,0.000998264,0.000998264,0.000998264
6,619.254,1.17032,0.84372,1.34061,0.71007,0.74301,0.77053,0.51115,1.26625,0.87437,1.41696,0.000997288,0.000997288,0.000997288
7,703.145,1.16309,0.82971,1.33818,0.75858,0.77503,0.79593,0.5287,1.2355,0.81409,1.39214,0.000996097,0.000996097,0.000996097
8,787.691,1.13473,0.7999,1.31739,0.74977,0.77142,0.78966,0.53966,1.17927,0.84822,1.36558,0.00099469,0.00099469,0.00099469
9,871.461,1.11471,0.77268,1.30096,0.78913,0.79952,0.81626,0.56035,1.18401,0.75783,1.34032,0.000993068,0.000993068,0.000993068
10,956.017,1.10817,0.76702,1.30433,0.81271,0.79377,0.84244,0.56749,1.21222,0.78193,1.36255,0.000991232,0.000991232,0.000991232
11,1040.27,1.08066,0.74655,1.28667,0.83215,0.80287,0.83946,0.58658,1.11791,0.70906,1.29292,0.000989183,0.000989183,0.000989183
12,1124.22,1.07372,0.72224,1.27723,0.84006,0.78543,0.84882,0.58979,1.0966,0.75317,1.27478,0.000986922,0.000986922,0.000986922
13,1207.53,1.07505,0.72674,1.28112,0.79014,0.81012,0.83904,0.59189,1.09712,0.72903,1.29426,0.000984449,0.000984449,0.000984449
14,1290.92,1.0622,0.70118,1.2644,0.85235,0.77309,0.84512,0.59477,1.08492,0.70392,1.27768,0.000981765,0.000981765,0.000981765
15,1374.41,1.04803,0.68493,1.25037,0.83616,0.77463,0.83158,0.58837,1.07624,0.71089,1.25944,0.000978873,0.000978873,0.000978873
16,1458.95,1.03693,0.68448,1.25373,0.84212,0.80307,0.84751,0.60274,1.08422,0.6771,1.2668,0.000975773,0.000975773,0.000975773
17,1543.13,1.01961,0.66938,1.24233,0.8332,0.79516,0.83987,0.60874,1.00227,0.66814,1.23848,0.000972466,0.000972466,0.000972466
18,1631.61,1.02246,0.67454,1.2462,0.90195,0.78005,0.87029,0.60901,1.08064,0.65542,1.25941,0.000968955,0.000968955,0.000968955
19,1715.73,0.99818,0.65023,1.22846,0.84125,0.79537,0.83989,0.59991,1.02373,0.68841,1.24177,0.000965239,0.000965239,0.000965239
20,1799.76,1.00028,0.6486,1.22892,0.84377,0.83324,0.87332,0.6333,0.99791,0.65079,1.22335,0.000961322,0.000961322,0.000961322
21,1897.48,0.9851,0.63572,1.22144,0.86066,0.80508,0.85104,0.61172,1.02691,0.65306,1.23501,0.000957205,0.000957205,0.000957205
22,1986.52,0.98293,0.63306,1.21642,0.87896,0.7929,0.86204,0.62576,1.0373,0.67801,1.24323,0.000952889,0.000952889,0.000952889
23,2093,0.9689,0.61334,1.20594,0.79943,0.8192,0.83976,0.61005,1.04046,0.66503,1.2575,0.000948377,0.000948377,0.000948377
24,2201.75,0.9475,0.60476,1.19144,0.87079,0.85499,0.8824,0.64145,0.97223,0.61039,1.19489,0.000943671,0.000943671,0.000943671
25,2309.39,0.96157,0.61653,1.20275,0.83554,0.79442,0.82883,0.60476,0.98652,0.65992,1.20896,0.000938772,0.000938772,0.000938772
26,2411.96,0.94628,0.59589,1.19624,0.88356,0.82192,0.8682,0.64475,0.96933,0.61625,1.2085,0.000933683,0.000933683,0.000933683
27,2516.59,0.92923,0.58236,1.18952,0.85846,0.84851,0.87581,0.63882,0.99524,0.60277,1.21277,0.000928405,0.000928405,0.000928405
28,2612.47,0.9347,0.58514,1.18882,0.88226,0.83487,0.88144,0.64364,0.99983,0.57924,1.21331,0.000922942,0.000922942,0.000922942
29,2715.12,0.92566,0.58817,1.18406,0.86388,0.83654,0.87004,0.63281,0.99157,0.61212,1.21457,0.000917296,0.000917296,0.000917296
30,2821.33,0.91577,0.57793,1.17886,0.86374,0.81863,0.86425,0.63081,0.97574,0.6,1.2115,0.000911469,0.000911469,0.000911469
31,2926.63,0.91142,0.5718,1.17046,0.85214,0.83971,0.87066,0.63557,0.9822,0.62525,1.22406,0.000905463,0.000905463,0.000905463
32,3028.33,0.91233,0.57376,1.17669,0.87537,0.83403,0.88735,0.65514,0.93456,0.58969,1.17809,0.000899282,0.000899282,0.000899282
33,3137.84,0.90058,0.5654,1.17702,0.90538,0.83436,0.88761,0.66031,0.9197,0.55742,1.18168,0.000892928,0.000892928,0.000892928
34,3248.15,0.90981,0.56484,1.17054,0.91064,0.82981,0.8977,0.66585,0.95369,0.55814,1.1817,0.000886404,0.000886404,0.000886404
35,3355.62,0.90637,0.56113,1.16783,0.91624,0.81543,0.87826,0.65072,0.95913,0.59044,1.19813,0.000879713,0.000879713,0.000879713
36,3459.32,0.90374,0.55908,1.16528,0.85285,0.87034,0.87892,0.65945,0.93559,0.57403,1.16807,0.000872857,0.000872857,0.000872857
37,3569.95,0.8925,0.551,1.1611,0.85615,0.83307,0.87379,0.64772,0.93415,0.59734,1.18296,0.000865839,0.000865839,0.000865839
38,3677.44,0.89469,0.55213,1.16401,0.84847,0.86684,0.88061,0.65016,0.93822,0.58654,1.18049,0.000858664,0.000858664,0.000858664
39,3781.13,0.8929,0.54814,1.16316,0.90475,0.8215,0.88363,0.64747,0.94883,0.60707,1.19984,0.000851333,0.000851333,0.000851333
40,3901.24,0.88373,0.54162,1.15173,0.90141,0.84792,0.88208,0.6526,0.92098,0.55845,1.17067,0.000843851,0.000843851,0.000843851
